Strategy,Initial_Capital,Final_Capital,Total_PnL,PnL_Pct,Total_Trades,Wins,Losses,Win_Rate,Best_Trade,Worst_Trade,Avg_Win,Avg_Loss,Profit_Factor
,?? Market closed. Time: 15:33:50,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,?? Bot stopped by user,,,,,,,,,,,,
,?? Closing 1min positions...,,,,,,,,,,,,
,?? Closing 2min positions...,,,,,,,,,,,,
,?? Closing 3min positions...,,,,,,,,,,,,
,?? Closing 5min positions...,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [ORIGINAL_1min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.9,925.00",,,,,,,,,,,,
,Total PnL:        Rs.-75.00 (-0.75%),,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     19,,,,,,,,,,,,
,Winning Trades:   7,,,,,,,,,,,,
,Losing Trades:    12,,,,,,,,,,,,
,Win Rate:         36.8%,,,,,,,,,,,,
,,,,,,,,,,,,,
,Best Trade:       Rs.858.75,,,,,,,,,,,,
,Worst Trade:      Rs.-491.25,,,,,,,,,,,,
,Avg Win:          Rs.671.25,,,,,,,,,,,,
,Avg Loss:         Rs.-397.81,,,,,,,,,,,,
,Profit Factor:    0.98,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1356,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [STRATEGY_A_1min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.13,251.25",,,,,,,,,,,,
,"Total PnL:        Rs.3,251.25 (32.51%)",,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     22,,,,,,,,,,,,
,Winning Trades:   11,,,,,,,,,,,,
,Losing Trades:    11,,,,,,,,,,,,
,Win Rate:         50.0%,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Best Trade:       Rs.1,053.75",,,,,,,,,,,,
,Worst Trade:      Rs.-457.50,,,,,,,,,,,,
,Avg Win:          Rs.681.82,,,,,,,,,,,,
,Avg Loss:         Rs.-386.25,,,,,,,,,,,,
,Profit Factor:    1.77,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1350,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [STRATEGY_B_1min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.10,450.00",,,,,,,,,,,,
,Total PnL:        Rs.450.00 (4.50%),,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     4,,,,,,,,,,,,
,Winning Trades:   2,,,,,,,,,,,,
,Losing Trades:    2,,,,,,,,,,,,
,Win Rate:         50.0%,,,,,,,,,,,,
,,,,,,,,,,,,,
,Best Trade:       Rs.772.50,,,,,,,,,,,,
,Worst Trade:      Rs.-656.25,,,,,,,,,,,,
,Avg Win:          Rs.761.25,,,,,,,,,,,,
,Avg Loss:         Rs.-536.25,,,,,,,,,,,,
,Profit Factor:    1.42,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1386,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [STRATEGY_C_1min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.10,303.75",,,,,,,,,,,,
,Total PnL:        Rs.303.75 (3.04%),,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     2,,,,,,,,,,,,
,Winning Trades:   1,,,,,,,,,,,,
,Losing Trades:    1,,,,,,,,,,,,
,Win Rate:         50.0%,,,,,,,,,,,,
,,,,,,,,,,,,,
,Best Trade:       Rs.772.50,,,,,,,,,,,,
,Worst Trade:      Rs.-468.75,,,,,,,,,,,,
,Avg Win:          Rs.772.50,,,,,,,,,,,,
,Avg Loss:         Rs.-468.75,,,,,,,,,,,,
,Profit Factor:    1.65,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1390,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [ORIGINAL_2min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.10,551.25",,,,,,,,,,,,
,Total PnL:        Rs.551.25 (5.51%),,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     20,,,,,,,,,,,,
,Winning Trades:   9,,,,,,,,,,,,
,Losing Trades:    11,,,,,,,,,,,,
,Win Rate:         45.0%,,,,,,,,,,,,
,,,,,,,,,,,,,
,Best Trade:       Rs.836.25,,,,,,,,,,,,
,Worst Trade:      Rs.-585.00,,,,,,,,,,,,
,Avg Win:          Rs.631.67,,,,,,,,,,,,
,Avg Loss:         Rs.-466.70,,,,,,,,,,,,
,Profit Factor:    1.11,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1319,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [STRATEGY_A_2min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.13,622.50",,,,,,,,,,,,
,"Total PnL:        Rs.3,622.50 (36.23%)",,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     21,,,,,,,,,,,,
,Winning Trades:   11,,,,,,,,,,,,
,Losing Trades:    10,,,,,,,,,,,,
,Win Rate:         52.4%,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Best Trade:       Rs.1,072.50",,,,,,,,,,,,
,Worst Trade:      Rs.-495.00,,,,,,,,,,,,
,Avg Win:          Rs.680.45,,,,,,,,,,,,
,Avg Loss:         Rs.-386.25,,,,,,,,,,,,
,Profit Factor:    1.94,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1317,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [STRATEGY_B_2min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.10,431.25",,,,,,,,,,,,
,Total PnL:        Rs.431.25 (4.31%),,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     4,,,,,,,,,,,,
,Winning Trades:   2,,,,,,,,,,,,
,Losing Trades:    2,,,,,,,,,,,,
,Win Rate:         50.0%,,,,,,,,,,,,
,,,,,,,,,,,,,
,Best Trade:       Rs.810.00,,,,,,,,,,,,
,Worst Trade:      Rs.-686.25,,,,,,,,,,,,
,Avg Win:          Rs.802.50,,,,,,,,,,,,
,Avg Loss:         Rs.-586.88,,,,,,,,,,,,
,Profit Factor:    1.37,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1351,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [STRATEGY_C_2min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.9,231.25",,,,,,,,,,,,
,Total PnL:        Rs.-768.75 (-7.69%),,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     7,,,,,,,,,,,,
,Winning Trades:   2,,,,,,,,,,,,
,Losing Trades:    5,,,,,,,,,,,,
,Win Rate:         28.6%,,,,,,,,,,,,
,,,,,,,,,,,,,
,Best Trade:       Rs.795.00,,,,,,,,,,,,
,Worst Trade:      Rs.-585.00,,,,,,,,,,,,
,Avg Win:          Rs.791.25,,,,,,,,,,,,
,Avg Loss:         Rs.-470.25,,,,,,,,,,,,
,Profit Factor:    0.67,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1345,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [ORIGINAL_3min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.9,797.50",,,,,,,,,,,,
,Total PnL:        Rs.-202.50 (-2.02%),,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     19,,,,,,,,,,,,
,Winning Trades:   8,,,,,,,,,,,,
,Losing Trades:    11,,,,,,,,,,,,
,Win Rate:         42.1%,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Best Trade:       Rs.1,053.75",,,,,,,,,,,,
,"Worst Trade:      Rs.-1,496.25",,,,,,,,,,,,
,Avg Win:          Rs.670.78,,,,,,,,,,,,
,Avg Loss:         Rs.-506.25,,,,,,,,,,,,
,Profit Factor:    0.96,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1266,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [STRATEGY_A_3min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.13,502.50",,,,,,,,,,,,
,"Total PnL:        Rs.3,502.50 (35.02%)",,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     20,,,,,,,,,,,,
,Winning Trades:   11,,,,,,,,,,,,
,Losing Trades:    9,,,,,,,,,,,,
,Win Rate:         55.0%,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Best Trade:       Rs.1,053.75",,,,,,,,,,,,
,Worst Trade:      Rs.-532.50,,,,,,,,,,,,
,Avg Win:          Rs.675.68,,,,,,,,,,,,
,Avg Loss:         Rs.-436.67,,,,,,,,,,,,
,Profit Factor:    1.89,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1264,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [STRATEGY_B_3min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.9,452.50",,,,,,,,,,,,
,Total PnL:        Rs.-547.50 (-5.47%),,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     4,,,,,,,,,,,,
,Winning Trades:   1,,,,,,,,,,,,
,Losing Trades:    3,,,,,,,,,,,,
,Win Rate:         25.0%,,,,,,,,,,,,
,,,,,,,,,,,,,
,Best Trade:       Rs.750.00,,,,,,,,,,,,
,Worst Trade:      Rs.-476.25,,,,,,,,,,,,
,Avg Win:          Rs.750.00,,,,,,,,,,,,
,Avg Loss:         Rs.-432.50,,,,,,,,,,,,
,Profit Factor:    0.58,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1296,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [STRATEGY_C_3min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.10,022.50",,,,,,,,,,,,
,Total PnL:        Rs.22.50 (0.22%),,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     7,,,,,,,,,,,,
,Winning Trades:   4,,,,,,,,,,,,
,Losing Trades:    3,,,,,,,,,,,,
,Win Rate:         57.1%,,,,,,,,,,,,
,,,,,,,,,,,,,
,Best Trade:       Rs.761.25,,,,,,,,,,,,
,"Worst Trade:      Rs.-1,496.25",,,,,,,,,,,,
,Avg Win:          Rs.638.44,,,,,,,,,,,,
,Avg Loss:         Rs.-843.75,,,,,,,,,,,,
,Profit Factor:    1.01,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1290,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [ORIGINAL_5min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.12,681.25",,,,,,,,,,,,
,"Total PnL:        Rs.2,681.25 (26.81%)",,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     17,,,,,,,,,,,,
,Winning Trades:   9,,,,,,,,,,,,
,Losing Trades:    8,,,,,,,,,,,,
,Win Rate:         52.9%,,,,,,,,,,,,
,,,,,,,,,,,,,
,Best Trade:       Rs.832.50,,,,,,,,,,,,
,Worst Trade:      Rs.-667.50,,,,,,,,,,,,
,Avg Win:          Rs.726.25,,,,,,,,,,,,
,Avg Loss:         Rs.-481.88,,,,,,,,,,,,
,Profit Factor:    1.70,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1164,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [STRATEGY_A_5min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.14,676.25",,,,,,,,,,,,
,"Total PnL:        Rs.4,676.25 (46.76%)",,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     20,,,,,,,,,,,,
,Winning Trades:   12,,,,,,,,,,,,
,Losing Trades:    8,,,,,,,,,,,,
,Win Rate:         60.0%,,,,,,,,,,,,
,,,,,,,,,,,,,
,Best Trade:       Rs.982.50,,,,,,,,,,,,
,Worst Trade:      Rs.-622.50,,,,,,,,,,,,
,Avg Win:          Rs.690.94,,,,,,,,,,,,
,Avg Loss:         Rs.-451.87,,,,,,,,,,,,
,Profit Factor:    2.29,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1158,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [STRATEGY_B_5min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.10,000.00",,,,,,,,,,,,
,Total PnL:        Rs.0.00 (0.00%),,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     0,,,,,,,,,,,,
,Winning Trades:   0,,,,,,,,,,,,
,Losing Trades:    0,,,,,,,,,,,,
,Win Rate:         0.0%,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1198,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,?? [STRATEGY_C_5min] SESSION ENDED,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,"Starting Capital: Rs.10,000.00",,,,,,,,,,,,
,"Ending Capital:   Rs.10,030.00",,,,,,,,,,,,
,Total PnL:        Rs.30.00 (0.30%),,,,,,,,,,,,
,,,,,,,,,,,,,
,?? TRADE STATISTICS,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,Total Trades:     5,,,,,,,,,,,,
,Winning Trades:   2,,,,,,,,,,,,
,Losing Trades:    3,,,,,,,,,,,,
,Win Rate:         40.0%,,,,,,,,,,,,
,,,,,,,,,,,,,
,Best Trade:       Rs.776.25,,,,,,,,,,,,
,Worst Trade:      Rs.-667.50,,,,,,,,,,,,
,Avg Win:          Rs.774.38,,,,,,,,,,,,
,Avg Loss:         Rs.-506.25,,,,,,,,,,,,
,Profit Factor:    1.02,,,,,,,,,,,,
,,,,,,,,,,,,,
,Total Ticks:      1188,,,,,,,,,,,,
,============================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,================================================================================,,,,,,,,,,,,
,?? FINAL STRATEGY COMPARISON,,,,,,,,,,,,
,================================================================================,,,,,,,,,,,,
,Strategy                      PnL     PnL%   Trades     Win%   P.Factor,,,,,,,,,,,,
,--------------------------------------------------------------------------------,,,,,,,,,,,,
,"STRATEGY_A_5min      Rs.  4,676.25   46.76%       20    60.0%       2.29",,,,,,,,,,,,
,"STRATEGY_A_2min      Rs.  3,622.50   36.23%       21    52.4%       1.94",,,,,,,,,,,,
,"STRATEGY_A_3min      Rs.  3,502.50   35.02%       20    55.0%       1.89",,,,,,,,,,,,
,"STRATEGY_A_1min      Rs.  3,251.25   32.51%       22    50.0%       1.77",,,,,,,,,,,,
,"ORIGINAL_5min        Rs.  2,681.25   26.81%       17    52.9%       1.70",,,,,,,,,,,,
,ORIGINAL_2min        Rs.    551.25    5.51%       20    45.0%       1.11,,,,,,,,,,,,
,STRATEGY_B_1min      Rs.    450.00    4.50%        4    50.0%       1.42,,,,,,,,,,,,
,STRATEGY_B_2min      Rs.    431.25    4.31%        4    50.0%       1.37,,,,,,,,,,,,
,STRATEGY_C_1min      Rs.    303.75    3.04%        2    50.0%       1.65,,,,,,,,,,,,
,STRATEGY_C_5min      Rs.     30.00    0.30%        5    40.0%       1.02,,,,,,,,,,,,
,STRATEGY_C_3min      Rs.     22.50    0.22%        7    57.1%       1.01,,,,,,,,,,,,
,STRATEGY_B_5min      Rs.      0.00    0.00%        0     0.0%     999.99,,,,,,,,,,,,
,ORIGINAL_1min        Rs.    -75.00   -0.75%       19    36.8%       0.98,,,,,,,,,,,,
,ORIGINAL_3min        Rs.   -202.50   -2.02%       19    42.1%       0.96,,,,,,,,,,,,
,STRATEGY_B_3min      Rs.   -547.50   -5.47%        4    25.0%       0.58,,,,,,,,,,,,
,STRATEGY_C_2min      Rs.   -768.75   -7.69%        7    28.6%       0.67,,,,,,,,,,,,
,================================================================================,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,? Bot execution completed,,,,,,,,,,,,
,?? Check CSV files for detailed results,,,,,,,,,,,,
