Entry_Time,Exit_Time,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,PnL_Pct,Balance,Exit_Reason
,,,,,,,,,,,
12:17:29,12:31:36,NIFTY2610626100CE,CE,26100,113.7,118.9,118.9,390,4.57,20390,TARGET
12:32:38,12:35:23,NIFTY2610626100CE,CE,26100,119.05,124.1,124.1,378.75,4.24,20768.75,TARGET
12:36:25,12:43:48,NIFTY2610626100CE,CE,26100,120.6,125.9,125.9,397.5,4.39,21166.25,TARGET
13:02:13,13:02:29,NIFTY2610626150CE,CE,26150,125.35,122.4,125.35,-221.25,-2.35,20945,STOP_LOSS
13:03:37,13:05:59,NIFTY2610626150CE,CE,26150,125,121.45,125.3,-266.25,-2.84,20678.75,STOP_LOSS
13:07:00,13:10:20,NIFTY2610626150CE,CE,26150,119.95,125.5,125.5,416.25,4.63,21095,TARGET
13:11:23,13:17:49,NIFTY2610626150CE,CE,26150,123,120.3,127.7,-202.5,-2.2,20892.5,STOP_LOSS
13:19:09,13:28:27,NIFTY2610626150CE,CE,26150,121.8,127.45,127.45,423.75,4.64,21316.25,TARGET
13:29:31,13:34:01,NIFTY2610626150CE,CE,26150,124.65,121.1,128.8,-266.25,-2.85,21050,STOP_LOSS
13:47:04,13:58:10,NIFTY2610626150CE,CE,26150,126.55,133.7,133.7,536.25,5.65,21586.25,TARGET
13:59:12,13:59:36,NIFTY2610626200CE,CE,26200,106,102.85,106.3,-236.25,-2.97,21350,STOP_LOSS
14:00:38,14:01:32,NIFTY2610626150CE,CE,26150,129.85,127.3,129.85,-191.25,-1.96,21158.75,STOP_LOSS
14:03:09,14:15:20,NIFTY2610626150CE,CE,26150,127.8,125,130.75,-210,-2.19,20948.75,STOP_LOSS
14:31:25,14:34:29,NIFTY2610626150CE,CE,26150,122.9,119,122.9,-292.5,-3.17,20656.25,STOP_LOSS
14:37:41,14:39:47,NIFTY2610626150CE,CE,26150,122.05,127.75,127.75,427.5,4.67,21083.75,TARGET
14:40:53,14:45:01,NIFTY2610626150CE,CE,26150,127.15,123.55,129.6,-270,-2.83,20813.75,STOP_LOSS
14:46:09,14:52:13,NIFTY2610626200CE,CE,26200,97.15,94.6,99.15,-191.25,-2.62,20622.5,STOP_LOSS
14:54:05,15:00:23,NIFTY2610626200CE,CE,26200,96,90.9,98.5,-382.5,-5.31,20240,STOP_LOSS
,,,,,,,,240,,,
,,,,,,,,,,,
,,,,,,,total_pnl,2478.75,,,
,# Risk Management,,,,,,,,,,
,"        self.daily_loss_limit = capital * 0.10  # ?1,000 for ?10k",,,,,,,,??  Market closed. Time:  15:34:01,,
,        self.max_risk_per_trade = 500,,,,,,,,,,
,        self.trades_today = [],,,,,,,,,,
,        self.daily_pnl = 0,,,,,,,,??  Bot stopped by user,,
,        ,,,,,,,,,,
,        # Position Tracking,,,,,,,,,,
,        self.active_position = None,,,,,,,,============================================================,,
,        self.lot_size = 75,,,,,,,,?? TRADING SESSION ENDED,,
,        ,,,,,,,,============================================================,,
,        # Strike Tracking (FIXED: Prevent mismatch),,,,,,,,"Starting Capital: Rs.20,000.00",,
,        self.entry_strike = None  # Track which strike we entered,,,,,,,,"Ending Capital:   Rs.20,240.00",,
,        ,,,,,,,,Total PnL:        Rs.240.00 (1.20%),,
,        # Early Trading Mode,,,,,,,,,,
,        self.early_trading_mode = True,,,,,,,,?? TRADE STATISTICS,,
,        self.early_trading_active = False,,,,,,,,============================================================,,
,        ,,,,,,,,Total Trades:     18,,
,        # Strategy Parameters,,,,,,,,Winning Trades:   7,,
,        self.target_points = 10,,,,,,,,Losing Trades:    11,,
,        self.stop_loss_points = 5,,,,,,,,Win Rate:         38.9%,,
,        self.trailing_stop_activation = 0.4 # Activate after 50% of target,,,,,,,,,,
,        self.trailing_stop_distance = 0.035 ,,,,,,,,Best Trade:       Rs.536.25,,
,,,,,,,,,,,
,,,,,,,,,?? TRADE STATISTICS,,
,,,,,,,,,============================================================,,
,,,,,,,,,Total Trades:     18,,
,,,,,,,,,Winning Trades:   7,,
,,,,,,,,,Losing Trades:    11,,
,,,,,,,,,Win Rate:         38.9%,,
,,,,,,,,,,,
,,,,,,,,,?? TRADE STATISTICS,,
,,,,,,,,,============================================================,,
,,,,,,,,,Total Trades:     18,,
,,,,,,,,,Winning Trades:   7,,
,,,,,,,,,Losing Trades:    11,,
,,,,,,,,,,,
,,,,,,,,,?? TRADE STATISTICS,,
,,,,,,,,,============================================================,,
,,,,,,,,,Total Trades:     18,,
,,,,,,,,,Winning Trades:   7,,
,,,,,,,,,,,
,,,,,,,,,?? TRADE STATISTICS,,
,,,,,,,,,============================================================,,
,,,,,,,,,Total Trades:     18,,
,,,,,,,,,Winning Trades:   7,,
,,,,,,,,,,,
,,,,,,,,,?? TRADE STATISTICS,,
,,,,,,,,,============================================================,,
,,,,,,,,,Total Trades:     18,,
,,,,,,,,,Winning Trades:   7,,
,,,,,,,,,,,
,,,,,,,,,?? TRADE STATISTICS,,
,,,,,,,,,============================================================,,
,,,,,,,,,Total Trades:     18,,
,,,,,,,,,Winning Trades:   7,,
,,,,,,,,,?? TRADE STATISTICS,,
,,,,,,,,,============================================================,,
,,,,,,,,,Total Trades:     18,,
,,,,,,,,,============================================================,,
,,,,,,,,,Total Trades:     18,,
,,,,,,,,,Winning Trades:   7,,
,,,,,,,,,Total Trades:     18,,
,,,,,,,,,Winning Trades:   7,,
,,,,,,,,,Losing Trades:    11,,
,,,,,,,,,Winning Trades:   7,,
,,,,,,,,,Losing Trades:    11,,
,,,,,,,,,Win Rate:         38.9%,,
,,,,,,,,,Losing Trades:    11,,
,,,,,,,,,Win Rate:         38.9%,,
,,,,,,,,,,,
,,,,,,,,,Win Rate:         38.9%,,
,,,,,,,,,,,
,,,,,,,,,Best Trade:       Rs.536.25,,
,,,,,,,,,,,
,,,,,,,,,Best Trade:       Rs.536.25,,
,,,,,,,,,Worst Trade:      Rs.-382.50,,
,,,,,,,,,Best Trade:       Rs.536.25,,
,,,,,,,,,Worst Trade:      Rs.-382.50,,
,,,,,,,,,Worst Trade:      Rs.-382.50,,
,,,,,,,,,Avg Win:          Rs.424.29,,
,,,,,,,,,Avg Loss:         Rs.-248.18,,
,,,,,,,,,Profit Factor:     1.09,,
,,,,,,,,,,,
,,,,,,,,,Total Ticks:      1367,,
,,,,,,,,,============================================================,,
