datetime,date,time,timeframe,strategy,spot_open,spot_high,spot_low,spot_close,fut_open,fut_high,fut_low,fut_close,vwap,ema_fast,ema_slow,rsi,fut_vs_vwap,prev_fut_vs_vwap,vwap_cross,min_body_required,ema_crossover,spot_vs_ema,candle_color,candle_body,rsi_zone,signal,entry_conditions_met,search_atm_strike,search_option_type,search_spot_price,search_capital,search_max_cost,search_min_price,search_max_price,expiry_used,strikes_tried,strike_1_price,strike_1_cost,strike_1_status,strike_2_price,strike_2_cost,strike_2_status,strike_3_price,strike_3_cost,strike_3_status,strike_4_price,strike_4_cost,strike_4_status,failure_reason,pending_strike,pending_strike_type,expected_entry_price,has_position,position_type,position_strike,position_expiry,signal_time,entry_delay,entry_slippage,entry_price,current_price,pnl_points,pnl_rupees,pnl_pct,peak_price,drop_from_peak,trailing_active,hold_minutes,exit_signal,exit_trigger_reason,exit_reason,exit_price,exit_slippage,pnl_gross,transaction_cost,pnl_net,action,action_details,capital,daily_pnl,daily_trades,consecutive_losses,in_cooldown,cache_hits,cache_misses
2025-11-24 10:35:00,2025-11-24,10:35:00,5min,B,26128.2,26142.5,26128.2,26137.45,26150.2,26168.7,26149.4,26155.0,26129.46,26127.03,26115.5,61.88,ABOVE,ABOVE,NO_CROSS,,BULLISH,ABOVE,GREEN,9.25,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10000.0,0.0,0,0,FALSE,0,0
2025-11-24 10:40:00,2025-11-24,10:40:00,5min,B,26137.8,26141.75,26130.5,26130.95,26159.6,26160.0,26152.7,26155.0,26130.38,26128.34,26117.7,59.17,ABOVE,ABOVE,NO_CROSS,,BULLISH,ABOVE,RED,6.85,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10000.0,0.0,0,0,FALSE,0,0
2025-11-24 10:45:00,2025-11-24,10:45:00,5min,B,26131.9,26137.3,26126.85,26132.05,26156.3,26159.0,26150.0,26156.5,26131.19,26129.57,26119.75,59.49,ABOVE,ABOVE,NO_CROSS,,BULLISH,ABOVE,GREEN,0.15,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10000.0,0.0,0,0,FALSE,0,0
2025-11-24 10:50:00,2025-11-24,10:50:00,5min,B,26131.8,26131.8,26113.3,26114.1,26150.4,26156.1,26131.6,26133.1,26131.55,26124.42,26118.95,52.23,ABOVE,ABOVE,NO_CROSS,,BULLISH,BELOW,RED,17.7,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10000.0,0.0,0,0,FALSE,0,0
2025-11-24 10:55:00,2025-11-24,10:55:00,5min,B,26114.4,26115.3,26108.15,26108.4,26132.8,26139.0,26130.0,26130.0,26131.63,26119.08,26117.44,50.13,BELOW,ABOVE,CROSSED_BELOW,,BULLISH,BELOW,RED,6.0,NEUTRAL,BUY_PE,TRUE,26100,PE,26108.4,10000.0,9500.0,30.0,200.0,2025-11-25,26100(ATM),59.1,4432.5,SELECTED,,,,,,,,,,,26100,ATM,59.1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,ENTRY_SIGNALED_BUY_PE,Entry pending next candle: ATM @ ~₹59.10,10000.0,0.0,0,0,FALSE,1,0
2025-11-24 11:00:00,2025-11-24,11:00:00,5min,B,26108.6,26110.5,26094.4,26105.25,26129.9,26133.3,26113.1,26129.6,26131.27,26114.47,26115.7,48.96,BELOW,,,,BEARISH,BELOW,RED,3.35,,,,26100,PE,26108.4,10000.0,9500.0,30.0,200.0,2025-11-25,26100(ATM),59.1,4432.5,SELECTED,,,,,,,,,,,,,,FALSE,PE,26100,2025-11-25,2025-11-24 10:55:00,300.0,0.5,59.7,,,,,,,,,,,,,,,,,ENTRY_PE,ATM @ ₹59.70 (slippage: 0.50),10000.0,0.0,0,0,FALSE,,
2025-11-24 11:05:00,2025-11-24,11:05:00,5min,B,26105.4,26106.35,26098.1,26099.75,26124.1,26127.9,26116.2,26117.6,26130.87,26109.56,26113.42,46.91,BELOW,,,,BEARISH,BELOW,RED,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,PE,26100,,,,,59.7,62.3,2.6,195.0,4.36,59.7,-2.6,FALSE,5.0,,,,,,,,,HOLDING,PnL: ₹195 | Peak: ₹59.70,10000.0,0.0,1,0,FALSE,1,0
2025-11-24 11:10:00,2025-11-24,11:10:00,5min,B,26100.6,26102.7,26094.95,26098.1,26124.4,26125.0,26112.5,26120.0,26130.5,26105.74,26111.23,46.28,BELOW,,,,BEARISH,BELOW,RED,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,PE,26100,,,,,59.7,65.8,6.1,457.5,10.22,62.3,-3.5,FALSE,10.0,,,,,,,,,HOLDING,PnL: ₹458 | Peak: ₹62.30,10000.0,0.0,1,0,FALSE,1,0
2025-11-24 11:15:00,2025-11-24,11:15:00,5min,B,26098.4,26098.4,26088.1,26093.5,26115.0,26122.0,26108.4,26115.0,26129.49,26101.66,26108.7,44.49,BELOW,,,,BEARISH,BELOW,RED,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,PE,26100,,,,,59.7,67.1,7.4,555.0,12.4,65.8,-1.3,TRUE,15.0,,,,,,,,,HOLDING,PnL: ₹555 | Peak: ₹65.80,10000.0,0.0,1,0,FALSE,1,0
2025-11-24 11:20:00,2025-11-24,11:20:00,5min,B,26093.95,26099.35,26092.75,26096.8,26118.5,26127.0,26115.0,26116.8,26129.19,26100.04,26107.0,46.1,BELOW,,,,BEARISH,BELOW,GREEN,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,PE,26100,,,,,59.7,62.5,2.8,210.0,4.69,67.1,4.6,TRUE,20.0,,TRAILING_STOP,,,,,,,EXIT_TRIGGERED_TRAILING_STOP,Exit will execute next candle | PnL: ₹210,10000.0,0.0,1,0,FALSE,1,0
2025-11-24 11:25:00,2025-11-24,11:25:00,5min,B,26097.1,26123.45,26096.4,26122.6,26119.9,26148.0,26119.9,26148.0,26129.43,26107.56,26109.23,56.67,ABOVE,,,,BEARISH,ABOVE,GREEN,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,TRAILING_STOP,58.15,-0.75,-116.25,42.18,-158.43,EXIT_TRAILING_STOP,"Net PnL: ₹-158 (Gross: ₹-116, Costs: ₹42)",9841.57,0.0,1,0,FALSE,,
2025-11-24 11:30:00,2025-11-24,11:30:00,5min,B,26122.2,26126.0,26118.65,26122.2,26146.9,26150.0,26140.2,26142.6,26129.9,26112.44,26111.08,56.49,ABOVE,ABOVE,NO_CROSS,,BULLISH,ABOVE,RED,0.0,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,9841.57,-158.43,1,1,FALSE,1,0
2025-11-24 11:35:00,2025-11-24,11:35:00,5min,B,26122.05,26130.95,26117.95,26118.25,26144.0,26150.0,26140.1,26140.1,26130.22,26114.38,26112.1,54.59,ABOVE,ABOVE,NO_CROSS,,BULLISH,ABOVE,RED,3.8,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,9841.57,-158.43,1,1,FALSE,1,0
2025-11-24 11:40:00,2025-11-24,11:40:00,5min,B,26118.9,26122.25,26114.6,26117.15,26140.0,26145.0,26132.9,26138.0,26130.36,26115.3,26112.83,54.05,ABOVE,ABOVE,NO_CROSS,,BULLISH,ABOVE,RED,1.75,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,9841.57,-158.43,1,1,FALSE,1,0
2025-11-24 11:45:00,2025-11-24,11:45:00,5min,B,26117.3,26117.3,26096.3,26097.65,26139.0,26139.0,26119.4,26120.3,26130.26,26109.42,26110.66,45.41,BELOW,ABOVE,CROSSED_BELOW,,BEARISH,BELOW,RED,19.65,NEUTRAL,BUY_PE,TRUE,26100,PE,26097.65,10000.0,9500.0,30.0,200.0,2025-11-25,26100(ATM),57.35,4301.25,SELECTED,,,,,,,,,,,26100,ATM,57.35,FALSE,,,,,,,,,,,,,,,,,,,,,,,,ENTRY_SIGNALED_BUY_PE,Entry pending next candle: ATM @ ~₹57.35,9841.57,-158.43,1,1,FALSE,1,0
2025-11-24 11:50:00,2025-11-24,11:50:00,5min,B,26098.15,26098.15,26068.3,26069.85,26120.0,26120.3,26095.0,26099.4,26129.13,26096.23,26104.83,36.47,BELOW,,,,BEARISH,BELOW,RED,28.3,,,,26100,PE,26097.65,10000.0,9500.0,30.0,200.0,2025-11-25,26100(ATM),57.35,4301.25,SELECTED,,,,,,,,,,,,,,FALSE,PE,26100,2025-11-25,2025-11-24 11:45:00,300.0,0.5,65.7,,,,,,,,,,,,,,,,,ENTRY_PE,ATM @ ₹65.70 (slippage: 0.50),9841.57,-158.43,1,1,FALSE,,
2025-11-24 11:55:00,2025-11-24,11:55:00,5min,B,26070.4,26079.1,26063.4,26077.4,26099.3,26106.2,26081.0,26100.0,26127.53,26089.95,26100.91,39.93,BELOW,,,,BEARISH,BELOW,GREEN,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,PE,26100,,,,,65.7,72.55,6.85,513.75,10.43,65.7,-6.85,FALSE,5.0,,,,,,,,,HOLDING,PnL: ₹514 | Peak: ₹65.70,9841.57,-158.43,2,1,FALSE,1,0
2025-11-24 12:00:00,2025-11-24,12:00:00,5min,B,26078.45,26089.5,26075.45,26083.85,26099.1,26111.3,26095.0,26101.2,26126.87,26087.92,26098.47,42.79,BELOW,,,,BEARISH,BELOW,GREEN,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,PE,26100,,,,,65.7,70.45,4.75,356.25,7.23,72.55,2.1,TRUE,10.0,,,,,,,,,HOLDING,PnL: ₹356 | Peak: ₹72.55,9841.57,-158.43,2,1,FALSE,1,0
2025-11-24 12:05:00,2025-11-24,12:05:00,5min,B,26083.95,26085.85,26072.65,26072.9,26106.7,26107.6,26090.0,26092.0,26126.29,26082.91,26094.82,39.36,BELOW,,,,BEARISH,BELOW,RED,11.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,PE,26100,,,,,65.7,71.75,6.05,453.75,9.21,72.55,0.8,TRUE,15.0,,,,,,,,,HOLDING,PnL: ₹454 | Peak: ₹72.55,9841.57,-158.43,2,1,FALSE,1,0
2025-11-24 12:10:00,2025-11-24,12:10:00,5min,B,26073.45,26074.4,26065.6,26069.1,26090.0,26095.0,26084.2,26094.0,26125.59,26078.31,26091.15,38.21,BELOW,,,,BEARISH,BELOW,RED,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,PE,26100,,,,,65.7,79.9,14.2,1065.0,21.61,72.55,-7.35,TRUE,20.0,,TARGET,,,,,,,EXIT_TRIGGERED_TARGET,Exit will execute next candle | PnL: ₹1065,9841.57,-158.43,2,1,FALSE,1,0
2025-11-24 12:15:00,2025-11-24,12:15:00,5min,B,26068.65,26082.1,26066.55,26077.45,26093.6,26105.0,26087.3,26102.0,26125.03,26078.02,26089.19,42.2,BELOW,,,,BEARISH,BELOW,GREEN,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,TARGET,74.55,-0.5,663.75,42.8,620.95,EXIT_TARGET,"Net PnL: ₹621 (Gross: ₹664, Costs: ₹43)",10462.52,-158.43,2,1,FALSE,,
2025-11-24 12:20:00,2025-11-24,12:20:00,5min,B,26078.25,26089.35,26069.45,26073.65,26100.0,26113.4,26088.5,26094.0,26124.59,26076.56,26086.97,40.9,BELOW,BELOW,NO_CROSS,,BEARISH,BELOW,RED,4.6,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 12:25:00,2025-11-24,12:25:00,5min,B,26073.35,26074.85,26059.55,26065.55,26084.0,26094.5,26078.3,26085.0,26122.75,26072.89,26083.91,38.22,BELOW,BELOW,NO_CROSS,,BEARISH,BELOW,RED,7.8,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 12:30:00,2025-11-24,12:30:00,5min,B,26066.75,26080.1,26047.0,26077.6,26090.0,26103.8,26066.3,26099.9,26119.97,26074.46,26083.01,44.1,BELOW,BELOW,NO_CROSS,,BEARISH,ABOVE,GREEN,10.85,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 12:35:00,2025-11-24,12:35:00,5min,B,26078.4,26083.85,26074.65,26077.05,26099.3,26106.8,26092.0,26097.5,26119.53,26075.32,26082.16,43.89,BELOW,BELOW,NO_CROSS,,BEARISH,ABOVE,RED,1.35,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 12:40:00,2025-11-24,12:40:00,5min,B,26078.05,26080.85,26073.3,26078.0,26097.7,26102.4,26092.3,26099.4,26119.25,26076.22,26081.56,44.38,BELOW,BELOW,NO_CROSS,,BEARISH,ABOVE,RED,0.05,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 12:45:00,2025-11-24,12:45:00,5min,B,26078.2,26088.2,26077.15,26085.3,26100.0,26110.0,26098.2,26106.0,26118.99,26079.24,26082.1,48.07,BELOW,BELOW,NO_CROSS,,BEARISH,ABOVE,GREEN,7.1,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 12:50:00,2025-11-24,12:50:00,5min,B,26086.5,26093.3,26073.45,26074.85,26110.0,26110.7,26088.9,26089.6,26118.62,26077.78,26081.06,43.61,BELOW,BELOW,NO_CROSS,,BEARISH,BELOW,RED,11.65,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 12:55:00,2025-11-24,12:55:00,5min,B,26075.9,26085.7,26068.3,26084.75,26089.5,26106.0,26085.0,26106.0,26117.78,26080.1,26081.59,48.49,BELOW,BELOW,NO_CROSS,,BEARISH,ABOVE,GREEN,8.85,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 13:00:00,2025-11-24,13:00:00,5min,B,26085.7,26088.35,26071.75,26074.6,26102.1,26109.0,26086.9,26091.9,26117.37,26078.27,26080.59,44.26,BELOW,BELOW,NO_CROSS,,BEARISH,BELOW,RED,11.1,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 13:05:00,2025-11-24,13:05:00,5min,B,26075.05,26090.3,26065.65,26083.9,26092.7,26110.8,26090.4,26103.7,26116.74,26080.15,26081.06,48.67,BELOW,BELOW,NO_CROSS,,BEARISH,ABOVE,GREEN,8.85,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 13:10:00,2025-11-24,13:10:00,5min,B,26084.4,26092.95,26079.65,26080.6,26103.0,26109.3,26094.5,26098.0,26116.58,26080.3,26081.0,47.24,BELOW,BELOW,NO_CROSS,,BEARISH,ABOVE,RED,3.8,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 13:15:00,2025-11-24,13:15:00,5min,B,26081.8,26091.45,26078.2,26088.15,26094.3,26110.0,26094.3,26110.0,26116.39,26082.91,26082.02,50.81,BELOW,BELOW,NO_CROSS,,BULLISH,ABOVE,GREEN,6.35,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 13:20:00,2025-11-24,13:20:00,5min,B,26089.0,26096.05,26089.0,26091.05,26109.0,26114.9,26105.0,26111.6,26116.31,26085.63,26083.31,52.14,BELOW,BELOW,NO_CROSS,,BULLISH,ABOVE,GREEN,2.05,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 13:25:00,2025-11-24,13:25:00,5min,B,26093.35,26094.15,26077.55,26083.45,26111.2,26111.4,26091.9,26099.9,26116.13,26084.9,26083.33,48.43,BELOW,BELOW,NO_CROSS,,BULLISH,BELOW,RED,9.9,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 13:30:00,2025-11-24,13:30:00,5min,B,26083.7,26083.7,26076.2,26079.2,26100.0,26100.0,26088.8,26091.0,26115.8,26083.0,26082.74,46.44,BELOW,BELOW,NO_CROSS,,BULLISH,BELOW,RED,4.5,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 13:35:00,2025-11-24,13:35:00,5min,B,26079.5,26091.0,26070.45,26070.45,26090.6,26107.5,26083.8,26090.7,26115.52,26078.82,26080.98,42.56,BELOW,BELOW,NO_CROSS,,BEARISH,BELOW,RED,9.05,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
2025-11-24 13:40:00,2025-11-24,13:40:00,5min,B,26071.6,26088.4,26062.8,26086.55,26090.2,26103.3,26083.6,26103.0,26115.24,26081.39,26081.78,50.72,BELOW,BELOW,NO_CROSS,,BEARISH,ABOVE,GREEN,14.95,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10462.52,462.52,2,0,FALSE,1,0
